fasta,name,organism,source,genome_assembly
s3://ngi-igenomes/igenomes/Arabidopsis_thaliana/Ensembl/TAIR10/Sequence/WholeGenomeFasta/genome.fa,Arabidopsis_thaliana/Ensembl/TAIR10,Arabidopsis thaliana,Ensembl,TAIR10
s3://ngi-igenomes/igenomes/Arabidopsis_thaliana/Ensembl/TAIR9/Sequence/WholeGenomeFasta/genome.fa,Arabidopsis_thaliana/Ensembl/TAIR9,Arabidopsis thaliana,Ensembl,TAIR9
s3://ngi-igenomes/igenomes/Arabidopsis_thaliana/NCBI/TAIR10/Sequence/WholeGenomeFasta/genome.fa,Arabidopsis_thaliana/NCBI/TAIR10,Arabidopsis thaliana,NCBI,TAIR10
s3://ngi-igenomes/igenomes/Arabidopsis_thaliana/NCBI/build9.1/Sequence/WholeGenomeFasta/genome.fa,Arabidopsis_thaliana/NCBI/build9.1,Arabidopsis thaliana,NCBI,build9.1
s3://ngi-igenomes/igenomes/Bacillus_cereus_ATCC_10987/NCBI/2004-02-13/Sequence/WholeGenomeFasta/genome.fa,Bacillus_cereus_ATCC_10987/NCBI/2004-02-13,Bacillus cereus ATCC 10987,NCBI,2004-02-13
s3://ngi-igenomes/igenomes/Bacillus_subtilis_168/Ensembl/EB2/Sequence/WholeGenomeFasta/genome.fa,Bacillus_subtilis_168/Ensembl/EB2,Bacillus subtilis 168,Ensembl,EB2
s3://ngi-igenomes/igenomes/Bos_taurus/Ensembl/Btau_4.0/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/Ensembl/Btau_4.0,Bos taurus,Ensembl,Btau_4.0
s3://ngi-igenomes/igenomes/Bos_taurus/Ensembl/UMD3.1/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/Ensembl/UMD3.1,Bos taurus,Ensembl,UMD3.1
s3://ngi-igenomes/igenomes/Bos_taurus/NCBI/Btau_4.2/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/NCBI/Btau_4.2,Bos taurus,NCBI,Btau_4.2
s3://ngi-igenomes/igenomes/Bos_taurus/NCBI/Btau_4.6.1/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/NCBI/Btau_4.6.1,Bos taurus,NCBI,Btau_4.6.1
s3://ngi-igenomes/igenomes/Bos_taurus/NCBI/UMD_3.1.1/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/NCBI/UMD_3.1.1,Bos taurus,NCBI,UMD_3.1.1
s3://ngi-igenomes/igenomes/Bos_taurus/NCBI/UMD_3.1/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/NCBI/UMD_3.1,Bos taurus,NCBI,UMD_3.1
s3://ngi-igenomes/igenomes/Bos_taurus/UCSC/bosTau4/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/UCSC/bosTau4,Bos taurus,UCSC,bosTau4
s3://ngi-igenomes/igenomes/Bos_taurus/UCSC/bosTau6/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/UCSC/bosTau6,Bos taurus,UCSC,bosTau6
s3://ngi-igenomes/igenomes/Bos_taurus/UCSC/bosTau7/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/UCSC/bosTau7,Bos taurus,UCSC,bosTau7
s3://ngi-igenomes/igenomes/Bos_taurus/UCSC/bosTau8/Sequence/WholeGenomeFasta/genome.fa,Bos_taurus/UCSC/bosTau8,Bos taurus,UCSC,bosTau8
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/Ensembl/WBcel215/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/Ensembl/WBcel215,Caenorhabditis elegans,Ensembl,WBcel215
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/Ensembl/WBcel235/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/Ensembl/WBcel235,Caenorhabditis elegans,Ensembl,WBcel235
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/Ensembl/WS210/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/Ensembl/WS210,Caenorhabditis elegans,Ensembl,WS210
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/Ensembl/WS220/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/Ensembl/WS220,Caenorhabditis elegans,Ensembl,WS220
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/NCBI/WS190/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/NCBI/WS190,Caenorhabditis elegans,NCBI,WS190
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/NCBI/WS195/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/NCBI/WS195,Caenorhabditis elegans,NCBI,WS195
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/UCSC/ce10/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/UCSC/ce10,Caenorhabditis elegans,UCSC,ce10
s3://ngi-igenomes/igenomes/Caenorhabditis_elegans/UCSC/ce6/Sequence/WholeGenomeFasta/genome.fa,Caenorhabditis_elegans/UCSC/ce6,Caenorhabditis elegans,UCSC,ce6
s3://ngi-igenomes/igenomes/Canis_familiaris/Ensembl/BROADD2/Sequence/WholeGenomeFasta/genome.fa,Canis_familiaris/Ensembl/BROADD2,Canis familiaris,Ensembl,BROADD2
s3://ngi-igenomes/igenomes/Canis_familiaris/Ensembl/CanFam3.1/Sequence/WholeGenomeFasta/genome.fa,Canis_familiaris/Ensembl/CanFam3.1,Canis familiaris,Ensembl,CanFam3.1
s3://ngi-igenomes/igenomes/Canis_familiaris/NCBI/build2.1/Sequence/WholeGenomeFasta/genome.fa,Canis_familiaris/NCBI/build2.1,Canis familiaris,NCBI,build2.1
