fasta,name,organism,source,genome_assembly,accession,group,pep_sample_name
homo_sapiens/ENA/hg38/fasta/GRCh38-ena-15_GCA_000001405.fa.gz,GRCh38-ena-15,Homo sapiens,ENA,hg38,,homo_sapiens,GRCh38-ena-15
homo_sapiens/ENA/hg38/fasta/GRCh38-ena-29_GCA_000001405.fa.gz,GRCh38-ena-29,Homo sapiens,ENA,hg38,,homo_sapiens,GRCh38-ena-29
homo_sapiens/broad/hg19/references_b37_Homo_sapiens_assembly19.fasta.gz,b37-broad,Homo sapiens,broad,hg19,,homo_sapiens,b37-broad
homo_sapiens/broad/hg38/Homo_sapiens_assembly38.fasta.gz,hg38-broad,Homo sapiens,broad,hg38,,homo_sapiens,hg38-broad
homo_sapiens/broad/hg38/Homo_sapiens_assembly38_noALT_noHLA_noDecoy.fasta.gz,hg38-noALT-noHLA-noDecoy-broad,Homo sapiens,broad,hg38,,homo_sapiens,hg38-noALT-noHLA-noDecoy-broad
homo_sapiens/ddbj/hg19/fasta/hs37d5.fa.gz,hs37d5.fa,Homo sapiens,ddbj,hg19,,homo_sapiens,hs37d5.fa
homo_sapiens/ddbj/hg38/fasta/GRCh38_full_analysis_set_plus_decoy_hla.fa.gz,GRCh38-full-decoy-hla-ddbj,Homo sapiens,ddbj,hg38,,homo_sapiens,GRCh38-full-decoy-hla-ddbj
homo_sapiens/ddbj/hg38/fasta/Homo_sapiens_assembly38.fasta,homo-sapiens-assembly38-ddbj,Homo sapiens,ddbj,hg38,,homo_sapiens,homo-sapiens-assembly38-ddbj
homo_sapiens/ddbj/hg38/fasta/hg38.fa.gz,hg38-ddbj,Homo sapiens,ddbj,hg38,,homo_sapiens,hg38-ddbj
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna.alt.fa.gz,hg38-alt-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-alt-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,hg38-primary-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-primary-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna.toplevel.fa.gz,hg38-toplevel-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-toplevel-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna_rm.alt.fa.gz,hg38-alt-rm-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-alt-rm-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna_rm.primary_assembly.fa.gz,hg38-primary-rm-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-primary-rm-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna_rm.toplevel.fa.gz,hg38-toplevel-rm-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-toplevel-rm-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna_sm.alt.fa.gz,hg38-alt-sm-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-alt-sm-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna_sm.primary_assembly.fa.gz,hg38-primary-sm-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-primary-sm-113-ensembl
homo_sapiens/ensembl/hg38/fasta/Homo_sapiens.GRCh38.dna_sm.toplevel.fa.gz,hg38-toplevel-sm-113-ensembl,Homo sapiens,ensembl,hg38,,homo_sapiens,hg38-toplevel-sm-113-ensembl
homo_sapiens/gencode/hg19/fasta/GRCh37-primary-assembly-46-gencodeGRCh37.primary_assembly.genome.fa.gz,GRCh37-primary-assembly-46-gencode,Homo sapiens,gencode,hg19,,homo_sapiens,GRCh37-primary-assembly-46-gencode
homo_sapiens/gencode/hg19/fasta/GRCh37-primary-assembly-47-gencodeGRCh37.primary_assembly.genome.fa.gz,GRCh37-primary-assembly-47-gencode,Homo sapiens,gencode,hg19,,homo_sapiens,GRCh37-primary-assembly-47-gencode
homo_sapiens/gencode/hg38/fasta/GRCh38-p14-46-gencodeGRCh38.p14.genome.fa.gz,GRCh38-p14-46-gencode,Homo sapiens,gencode,hg38,,homo_sapiens,GRCh38-p14-46-gencode
homo_sapiens/gencode/hg38/fasta/GRCh38-p14-47-gencodeGRCh38.p14.genome.fa.gz,GRCh38-p14-47-gencode,Homo sapiens,gencode,hg38,,homo_sapiens,GRCh38-p14-47-gencode
homo_sapiens/gencode/hg38/fasta/GRCh38-primary-assembly-46-gencodeGRCh38.primary_assembly.genome.fa.gz,GRCh38-primary-assembly-46-gencode,Homo sapiens,gencode,hg38,,homo_sapiens,GRCh38-primary-assembly-46-gencode
homo_sapiens/gencode/hg38/fasta/GRCh38-primary-assembly-47-gencodeGRCh38.primary_assembly.genome.fa.gz,GRCh38-primary-assembly-47-gencode,Homo sapiens,gencode,hg38,,homo_sapiens,GRCh38-primary-assembly-47-gencode
homo_sapiens/igenomes/hg18/fasta/Homo_sapiens_UCSC_hg18_genome.fa.gz,hg18-igenomes-ucsc,Homo sapiens,igenomes,hg18,,homo_sapiens,hg18-igenomes-ucsc
homo_sapiens/igenomes/hg19/fasta/Homo_sapiens_Ensembl_GRCh37_genome.fa.gz,GRCh37-igenomes-ensembl,Homo sapiens,igenomes,hg19,,homo_sapiens,GRCh37-igenomes-ensembl
