fasta,name,organism,source,genome_assembly,accession,population
HG002.alt.pat.f1_v2.unmasked.fa.gz,HG002.alt.pat.f1_v2,Homo sapiens,HPRC,HG002.alt.pat.f1_v2,GCA_018852605.1,Caucasian
HG002.mat.cur.20211005.unmasked.fa.gz,HG002.mat.cur.20211005,Homo sapiens,HPRC,HG002.mat.cur.20211005,GCA_021951015.1,Caucasian
HG002.pat.cur.20211005.unmasked.fa.gz,HG002.pat.cur.20211005,Homo sapiens,HPRC,HG002.pat.cur.20211005,GCA_021950905.1,Caucasian
HG002.pri.mat.f1_v2.unmasked.fa.gz,HG002.pri.mat.f1_v2,Homo sapiens,HPRC,HG002.pri.mat.f1_v2,GCA_018852615.1,Caucasian
HG00438.alt.pat.f1_v2.unmasked.fa.gz,HG00438.alt.pat.f1_v2,Homo sapiens,HPRC,HG00438.alt.pat.f1_v2,GCA_018472595.1,Han Chinese South
HG00438.pri.mat.f1_v2.unmasked.fa.gz,HG00438.pri.mat.f1_v2,Homo sapiens,HPRC,HG00438.pri.mat.f1_v2,GCA_018471515.1,Han Chinese South
HG005.alt.pat.f1_v2.unmasked.fa.gz,HG005.alt.pat.f1_v2,Homo sapiens,HPRC,HG005.alt.pat.f1_v2,GCA_018506945.1,Asian
HG005.pri.mat.f1_v2.unmasked.fa.gz,HG005.pri.mat.f1_v2,Homo sapiens,HPRC,HG005.pri.mat.f1_v2,GCA_018506965.1,Asian
HG00621.alt.pat.f1_v2.unmasked.fa.gz,HG00621.alt.pat.f1_v2,Homo sapiens,HPRC,HG00621.alt.pat.f1_v2,GCA_018472575.1,Han Chinese South
HG00621.pri.mat.f1_v2.unmasked.fa.gz,HG00621.pri.mat.f1_v2,Homo sapiens,HPRC,HG00621.pri.mat.f1_v2,GCA_018472605.1,Han Chinese South
HG00673.alt.pat.f1_v2.unmasked.fa.gz,HG00673.alt.pat.f1_v2,Homo sapiens,HPRC,HG00673.alt.pat.f1_v2,GCA_018472585.1,Han Chinese South
HG00673.pri.mat.f1_v2.unmasked.fa.gz,HG00673.pri.mat.f1_v2,Homo sapiens,HPRC,HG00673.pri.mat.f1_v2,GCA_018472565.1,Han Chinese South
HG00733.alt.pat.f1_v2.unmasked.fa.gz,HG00733.alt.pat.f1_v2,Homo sapiens,HPRC,HG00733.alt.pat.f1_v2,GCA_018506955.1,Puerto Rican In Puerto Rico
HG00733.pri.mat.f1_v2.unmasked.fa.gz,HG00733.pri.mat.f1_v2,Homo sapiens,HPRC,HG00733.pri.mat.f1_v2,GCA_018506975.1,Puerto Rican In Puerto Rico
HG00735.alt.pat.f1_v2.unmasked.fa.gz,HG00735.alt.pat.f1_v2,Homo sapiens,HPRC,HG00735.alt.pat.f1_v2,GCA_018472715.1,Puerto Rican In Puerto Rico
