fasta,name,organism,source,genome_assembly,accession,group,pep_sample_name
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/actinidia_chinensis/plantref/FEI_Lab_v1_0.fa.gz,actinidia_chinensis_FEI_Lab_v1_0,Actinidia chinensis,plantref,FEI_Lab_v1_0,,actinidia_chinensis,actinidia_chinensis_FEI_Lab_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/amborella_trichopoda/plantref/Amborella_V1_0.fa.gz,amborella_trichopoda_Amborella_V1_0,Amborella trichopoda,plantref,Amborella_V1_0,,amborella_trichopoda,amborella_trichopoda_Amborella_V1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/amborella_trichopoda/plantref/Amborella_v1.fa.gz,amborella_trichopoda_Amborella_v1,Amborella trichopoda,plantref,Amborella_v1,,amborella_trichopoda,amborella_trichopoda_Amborella_v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/amborella_trichopoda/jgi/JGI_v1_0.fa.gz,amborella_trichopoda_JGI_v1_0,Amborella trichopoda,JGI,JGI_v1_0,,amborella_trichopoda,amborella_trichopoda_JGI_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ananas_comosus/jgi/JGI_v3_0.fa.gz,ananas_comosus_JGI_v3_0,Ananas comosus,JGI,JGI_v3_0,,ananas_comosus,ananas_comosus_JGI_v3_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/apostasia_shenzhenica/plantref/v1_0.fa.gz,apostasia_shenzhenica_v1_0,Apostasia shenzhenica,plantref,v1_0,,apostasia_shenzhenica,apostasia_shenzhenica_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/arabidopsis_lyrata/jgi/JGI_v1_0.fa.gz,arabidopsis_lyrata_JGI_v1_0,Arabidopsis lyrata,JGI,JGI_v1_0,,arabidopsis_lyrata,arabidopsis_lyrata_JGI_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/arabidopsis_lyrata/jgi/JGI_v2_1.fa.gz,arabidopsis_lyrata_JGI_v2_1,Arabidopsis lyrata,JGI,JGI_v2_1,,arabidopsis_lyrata,arabidopsis_lyrata_JGI_v2_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/arabidopsis_thaliana/araport/COL-0_Araport11.fa.gz,arabidopsis_thaliana_COL-0_Araport11,Arabidopsis thaliana,Araport,COL-0_Araport11,,arabidopsis_thaliana,arabidopsis_thaliana_COL-0_Araport11
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/arabidopsis_thaliana/plantref/COL-0_TAIR10.fa.gz,arabidopsis_thaliana_COL-0_TAIR10,Arabidopsis thaliana,plantref,COL-0_TAIR10,,arabidopsis_thaliana,arabidopsis_thaliana_COL-0_TAIR10
