fasta,name,organism,source,group
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.1.protein.faa.gz,NCBI RefSeq human protein (part 1),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.2.protein.faa.gz,NCBI RefSeq human protein (part 2),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.3.protein.faa.gz,NCBI RefSeq human protein (part 3),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.4.protein.faa.gz,NCBI RefSeq human protein (part 4),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.5.protein.faa.gz,NCBI RefSeq human protein (part 5),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.6.protein.faa.gz,NCBI RefSeq human protein (part 6),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.7.protein.faa.gz,NCBI RefSeq human protein (part 7),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.8.protein.faa.gz,NCBI RefSeq human protein (part 8),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.9.protein.faa.gz,NCBI RefSeq human protein (part 9),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.10.protein.faa.gz,NCBI RefSeq human protein (part 10),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.11.protein.faa.gz,NCBI RefSeq human protein (part 11),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.12.protein.faa.gz,NCBI RefSeq human protein (part 12),Homo sapiens,NCBI RefSeq,protein
https://ftp.ncbi.nlm.nih.gov/refseq/H_sapiens/mRNA_Prot/human.13.protein.faa.gz,NCBI RefSeq human protein (part 13),Homo sapiens,NCBI RefSeq,protein
