fasta,name,organism,source,accession,genome_assembly
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963993115.1.fa.gz,fAbrBra2.1,Abramis brama,VGP,GCA_963993115.1,fAbrBra2.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_904848185.1.fa.gz,fAcaLat1.1,Acanthopagrus latus,VGP,GCF_904848185.1,fAcaLat1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_041753875.1.fa.gz,ASM4175387v1,Acanthopagrus schlegelii,VGP,GCA_041753875.1,ASM4175387v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_902713425.1.fa.gz,fAciRut3.2 maternal haplotype,Acipenser ruthenus,VGP,GCF_902713425.1,fAciRut3.2 maternal haplotype
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_903995435.1.fa.gz,mAcoRus1.1,Acomys russatus,VGP,GCF_903995435.1,mAcoRus1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_027559615.1.fa.gz,bAcrTri1.pri,Acridotheres tristis,VGP,GCA_027559615.1,bAcrTri1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_039906565.1.fa.gz,bAegAlb1.hap1,Aegotheles albertisi,VGP,GCA_039906565.1,bAegAlb1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_020745825.1.fa.gz,Agelaius phoeniceus 1.1,Agelaius phoeniceus,VGP,GCF_020745825.1,Agelaius phoeniceus 1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_008658365.1.fa.gz,bAlcTor1 primary,Alca torda,VGP,GCA_008658365.1,bAlcTor1 primary
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_030867095.1.fa.gz,rAllMis1,Alligator mississippiensis,VGP,GCF_030867095.1,rAllMis1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_018492685.1.fa.gz,fAloSap1.pri,Alosa sapidissima,VGP,GCF_018492685.1,fAloSap1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_039720435.1.fa.gz,bAmaOch1.hap1,Amazona ochrocephala,VGP,GCA_039720435.1,bAmaOch1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_046255685.1.fa.gz,fAmbSpe1.hap1,Amblyopsis spelaea,VGP,GCA_046255685.1,fAmbSpe1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_010909765.2.fa.gz,sAmbRad1.1.pri,Amblyraja radiata,VGP,GCF_010909765.2,sAmbRad1.1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_040938575.1.fa.gz,UKY_AmexF1_1,Ambystoma mexicanum,VGP,GCF_040938575.1,UKY_AmexF1_1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_036373705.1.fa.gz,fAmiCal2.hap1,Amia ocellicauda,VGP,GCF_036373705.1,fAmiCal2.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_027887145.1.fa.gz,bAmmCau1.pri,Ammospiza caudacuta,VGP,GCF_027887145.1,bAmmCau1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_036010785.1.fa.gz,bAmmMar1.pri,Ammospiza maritima maritima,VGP,GCA_036010785.1,bAmmMar1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_027579445.1.fa.gz,bAmmNel1.pri,Ammospiza nelsoni,VGP,GCF_027579445.1,bAmmNel1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_900324465.3.fa.gz,fAnaTes1.3,Anabas testudineus,VGP,GCA_900324465.3,fAnaTes1.3
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_014839685.1.fa.gz,fAnaAna1.pri,Anableps anableps,VGP,GCA_014839685.1,fAnaAna1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963932015.1.fa.gz,bAnaAcu1.1,Anas acuta,VGP,GCF_963932015.1,bAnaAcu1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964188345.1.fa.gz,bAnaPla2.hap1.1,Anas platyrhynchos,VGP,GCA_964188345.1,bAnaPla2.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_015476345.1.fa.gz,ZJU1.0,Anas platyrhynchos,VGP,GCF_015476345.1,ZJU1.0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_013347855.1.fa.gz,fAngAng1.pri,Anguilla anguilla,VGP,GCF_013347855.1,fAngAng1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_029215775.1.fa.gz,rAnnSte1.0.hap1,Anniella stebbinsi,VGP,GCA_029215775.1,rAnnSte1.0.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_037176765.1.fa.gz,rAnoSag1.mat,Anolis sagrei,VGP,GCF_037176765.1,rAnoSag1.mat
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048569485.1.fa.gz,aAnoBae1.hap1,Anomaloglossus baeobatrachus,VGP,GCA_048569485.1,aAnoBae1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964211835.1.fa.gz,bAnsAns1.hap1.1,Anser anser,VGP,GCA_964211835.1,bAnsAns1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964034855.1.fa.gz,bAnsBra1.1,Anser brachyrhynchus,VGP,GCA_964034855.1,bAnsBra1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_040182565.1.fa.gz,Taihu_goose_T2T_genome,Anser cygnoides,VGP,GCF_040182565.1,Taihu_goose_T2T_genome
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_013358685.1.fa.gz,fAntMac1.pri,Antennarius maculatus,VGP,GCA_013358685.1,fAntMac1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_918807975.1.fa.gz,kaAplTurb1.1,Aplidium turbinatum,VGP,GCA_918807975.1,kaAplTurb1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_017639675.1.fa.gz,fAplTae1.pri,Aplochiton taeniatus,VGP,GCA_017639675.1,fAplTae1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_947179515.1.fa.gz,mApoSyl1.1,Apodemus sylvaticus,VGP,GCF_947179515.1,mApoSyl1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_036417845.1.fa.gz,bAptMan1.hap1,Apteryx mantelli,VGP,GCF_036417845.1,bAptMan1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_020740795.1.fa.gz,bApuApu2.pri.cur,Apus apus,VGP,GCF_020740795.1,bApuApu2.pri.cur
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_900496995.4.fa.gz,bAquChr1.4,Aquila chrysaetos chrysaetos,VGP,GCF_900496995.4,bAquChr1.4
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_007364275.1.fa.gz,fArcCen1,Archocentrus centrarchus,VGP,GCF_007364275.1,fArcCen1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_951799395.1.fa.gz,fArgSil1.1,Argentina silus,VGP,GCA_951799395.1,fArgSil1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_905147365.1.fa.gz,ilAriAges1.1,Aricia agestis,VGP,GCF_905147365.1,ilAriAges1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_042242135.1.fa.gz,fArrGeo1.hap2,Arripis georgiana,VGP,GCA_042242135.1,fArrGeo1.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_038363145.1.fa.gz,mArtInt1.hap1,Artibeus intermedius,VGP,GCA_038363145.1,mArtInt1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_011762505.3.fa.gz,mArvNil1.pat.X,Arvicanthis niloticus,VGP,GCA_011762505.3,mArvNil1.pat.X
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_903992535.2.fa.gz,mArvAmp1.2,Arvicola amphibius,VGP,GCF_903992535.2,mArvAmp1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_040206685.1.fa.gz,aAscTru1.hap1,Ascaphus truei,VGP,GCA_040206685.1,aAscTru1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_947561715.1.fa.gz,kaAscMent1.1,Ascidia mentula,VGP,GCA_947561715.1,kaAscMent1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963924565.1.fa.gz,kaAscAspe10.1,Ascidiella aspersa,VGP,GCA_963924565.1,kaAscAspe10.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_043727835.1.fa.gz,ASM4372783v1,Aselliscus stoliczkanus,VGP,GCA_043727835.1,ASM4372783v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_023333525.2.fa.gz,rAspTig1.1.pri,Aspidoscelis tigris stejnegeri,VGP,GCA_023333525.2,rAspTig1.1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964374335.1.fa.gz,fAstCal68.1,Astatotilapia calliptera,VGP,GCA_964374335.1,fAstCal68.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_902459465.1.fa.gz,eAstRub1.3,Asterias rubens,VGP,GCF_902459465.1,eAstRub1.3
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_929443795.2.fa.gz,bAccGen1.2,Astur gentilis,VGP,GCA_929443795.2,bAccGen1.2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_023375975.1.fa.gz,AstMex3_surface,Astyanax mexicanus,VGP,GCF_023375975.1,AstMex3_surface
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965140245.1.fa.gz,bAthNoc1.hap1.1,Athene noctua,VGP,GCA_965140245.1,bAthNoc1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965226115.1.fa.gz,fAulStu2.1,Aulonocara stuartgranti,VGP,GCA_965226115.1,fAulStu2.1
